id,text,span
0,Sealsel päikeselisel Oahu saarel asub,"{'start': 21, 'end': 32, 'text': 'Oahu saarel', 'labels': ['LOC']}"
1,"Taani ajaleht Berlingske Tidende kirjutas , et naised leiti eile pärast pingelisi otsinguid ja lootuse kadumist tihedast metsast Oahu saarelt , kus nad olid nädala eest toimunud matka ajal ilmselt oma hooletuse tõttu ära eksinud .","{'start': 129, 'end': 141, 'text': 'Oahu saarelt', 'labels': ['LOC']}"
2,"Hiina uudisteagentuuri teatel on tõsine üleujutuste oht järgnevatel päevadel Huai jõe ümbruses , mis jookseb läbi mitme provintsi Kesk- ja Ida-Hiinas .","{'start': 77, 'end': 85, 'text': 'Huai jõe', 'labels': ['LOC']}"
3,"Aa rand , Aseri , Kiviõli , Ahtme , Toila ja Jõhvi on kohad , kus elavad vanurid ja osaliselt ka laps-invaliidid .","{'start': 0, 'end': 7, 'text': 'Aa rand', 'labels': ['LOC']}"
4,"Aa ranna kõige suurema kivi otsa ronisid Ade , Anni , Merlin ja Taavi .","{'start': 0, 'end': 8, 'text': 'Aa ranna', 'labels': ['LOC']}"
5,"Õnnetus juhtus Oahu saare põhjarannikul Kahuku linna lähistel , sõnas Honolulu tuletõrje juht Richard Soo .","{'start': 15, 'end': 25, 'text': 'Oahu saare', 'labels': ['LOC']}"
6,"Aa rannas , Toilas , Võsul ja Kärdlas mõõdeti veesoojuseks 21 , Pirita , Kakumäe , Ristna , Sõrve liivi , Kunda ja Paldiski lahes ning Haabneemes 20 kraadi .","{'start': 0, 'end': 9, 'text': 'Aa rannas', 'labels': ['LOC']}"
7,"Hawaiil Oahu saare põhjarannikul kukkus üleeile alla kaks USA sõjaväekopterit , õnnetuses hukkus kuus ja sai viga üheksa inimest .","{'start': 8, 'end': 18, 'text': 'Oahu saare', 'labels': ['LOC']}"
8,"Vaid kolm päeva varem jäi Oahu saare lõunarannikul kadunuks üheksa jaapanlast , kui USA allveelaev pinnale tõustes Jaapani kalatraaleriga kokku põrkas .","{'start': 26, 'end': 36, 'text': 'Oahu saare', 'labels': ['LOC']}"
9,Õnnetus juhtus kohaliku aja järgi reede pärastlõunal ( Eesti aja järgi ööl vastu laupäeva ) Oahu saare juures .,"{'start': 92, 'end': 102, 'text': 'Oahu saare', 'labels': ['LOC']}"
10,"Esimese ringtee südames asubTian'anmeni väljak , parlamendihoone , esimees Mao memoriaal , keisripaleede kompleks , mida kutsutakse Keelatud Linnaks , samuti Zhanghai , Beihai , Nanhai , Xihai , Qianhai ja Houhai järv ning Beihai tempel ja Behai park Behai järve kaldal .","{'start': 206, 'end': 217, 'text': 'Houhai järv', 'labels': ['LOC']}"
11,"Juba paistab Aioi jõe T-kujuline sild , mis on pommi otseseks sihtmärgiks .","{'start': 13, 'end': 21, 'text': 'Aioi jõe', 'labels': ['LOC']}"
12,"Ta usub , et kui O'ahu saarel puhub rattasõidu ajal tugev tuul , on tal võiduvõimalusi .","{'start': 17, 'end': 29, 'text': ""O'ahu saarel"", 'labels': ['LOC']}"
13,Toilas ja AA rannas on ilusate ilmadega valve .,"{'start': 10, 'end': 19, 'text': 'AA rannas', 'labels': ['LOC']}"
14,"Esimese ringtee südames asub Tiananmeni väljak , Parlamendihoone , esimees Mao memoriaal , keisripaleede kompleks , mida kutsutakse Keelatud Linnaks , ning Zhonghai , Beihai , Nanhai , Xihai , Qianhai ja Houhai järv ning Beihai tempel ja Beihai park Behai järve kaldal .","{'start': 204, 'end': 215, 'text': 'Houhai järv', 'labels': ['LOC']}"
15,"Californias kosmoselendude stardirakette tootva firma InterOrbital Systems ( IOS ) esindajad käisid jaanuaris 'Eua saarel uurimas , kas sinna saaks kosmodroomi rajada .","{'start': 110, 'end': 121, 'text': ""'Eua saarel"", 'labels': ['LOC']}"
16,"Briti miljardäri ning tema rootslasest ja ameeriklasest kaaslasi Per Lindstrandi ja Steve Fossettit kandnud õhupall kukkus alla Oahu saare põhjatipus paiknevast Kahuku Pointist 16 kilomeetri kaugusel haidest kubisevasse ookeani , kust kaks USA rannavalve helikopterit reisiseltskonna elu ja tervisega kaldale toimetasid .","{'start': 128, 'end': 138, 'text': 'Oahu saare', 'labels': ['LOC']}"
17,Üheksat kadunut otsitakse tänagi Oahu saare rannikuvetes paarkümmend kilomeetrit Honolulust lõunas .,"{'start': 33, 'end': 43, 'text': 'Oahu saare', 'labels': ['LOC']}"
18,"Jaapani kalalaev Ehime Maru uppus möödunud aasta 9. veebruaril 2001 , kui 6080-tonnine USA allveelaev U.S.S. Greeneville talle Hawaii Oauhu saare lähedal sisse sõitis .","{'start': 134, 'end': 145, 'text': 'Oauhu saare', 'labels': ['LOC']}"
19,"Ma elasin väiksena Hawaiil , Oahu saarel , Kailuas ning see oli puhas juhus , et minu naabriks oli kõigi aegade suurim surfar Robby Naish .","{'start': 29, 'end': 40, 'text': 'Oahu saarel', 'labels': ['LOC']}"
20,"Hoolimata sellest , et Chatham jääb Tongast lääne poole , paistaks uue aastatuhande esimene päike Chathami kõige kõrgemalt mäetipult poolteist minutit varem , sest kuupäevarajale lähim Tonga saarestiku kõrgeim mäetipp Eua saarel ( juhuslikult on see sama kõrge kui meie Munamägi – 318 meetrit ) on sellest madalam .","{'start': 218, 'end': 228, 'text': 'Eua saarel', 'labels': ['LOC']}"
21,Hua rannal võetud piltidel on 49aastase printsessi kõhukumerus läbi õhukese valge kleidi selgelt välja joonistunud .,"{'start': 0, 'end': 10, 'text': 'Hua rannal', 'labels': ['LOC']}"
