id,text,span
0,Ainult inimjõul liikuvate sõiduvahenditega ümber maakera sõitu üritav briti maailmarändur hakkab isetehtud pedaal-paadil Vaikset ookeani ületama .,"{'start': 121, 'end': 136, 'text': 'Vaikset ookeani', 'labels': ['LOC']}"
1,"Saades teada , et tegemist on USA Vaikse ookeani laevastiku juhi pojaga , tahtsid vietnamlased ta propagandistlikel eesmärkidel vabaks lasta , aga McCain keeldus ja nõudis temast kauem vangistuses olnud ameeriklase vabastamist .","{'start': 34, 'end': 48, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
2,"See-eest saab iga põhjakaukaasia keelkonda kuuluvat keelt kõnelev rahvas või rahvakild - tshetsheenid ja ingushid nende hulgas - pidada laia vööndit Mustast merest Kaspia mereni oma põliskoduks , kus rännatud või paiknetud ajalookoidikust alates .","{'start': 149, 'end': 163, 'text': 'Mustast merest', 'labels': ['LOC']}"
3,"13,3 meetri pikkuse laevaga sõidetakse üle Atlandi ookeani , ümber Hoorni neeme Vaiksesse ookeani ja siis ümber Aafrika koduvetesse tagasi .","{'start': 80, 'end': 97, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
4,"Juuni keskel läks USA ranniku-vetes Vaikses ookeanis põhja Leedu kaubalev "" Linkuva "" 18 inimesega pardal .","{'start': 36, 'end': 52, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
5,"Mehhikot tabas varahommikul Richeri skaala järgi 7,1 magnituudine maavärin , mille kese paiknes Vaikse ookeani rannikul .","{'start': 96, 'end': 110, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
6,"Nii USA välisministeerium kui OECD on nimetanud Naurut teiste Vaikse ookeani lõunaosa riikide seas , mida rahapesuks kasutatakse .","{'start': 62, 'end': 76, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
7,Esimene maavärin toimus kohaliku aja järgi kell 00.57 Vaikses ookeanis Hokkaido ranniku lähedal .,"{'start': 54, 'end': 70, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
8,"Fossetti viimane õhupallireis oleks aga äärepealt surmaga võinud lõppeda , kui ta 9000 meetri kõrguselt Vaiksesse ookeani kukkus .","{'start': 104, 'end': 121, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
9,"Sihtkohaks olin valinud paiga , kus Columbia jõgi Vaiksesse ookeani suubub .","{'start': 50, 'end': 67, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
10,"Kolmandas etapis osaleks Läti juba iseseisvalt rahvusvahelistes kosmoseprogrammides , näiteks atmosfääri seires Vaikse ookeani regioonis , looduskatastroofide prognoosimises ja osooniaukude "" lappimises "" .","{'start': 112, 'end': 126, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
11,"Samal ajal on tulvaveed üle Euroopa tapnud vähemalt 74 inimest sle nädalal , peamiselt Musta mere rannikul Venemaal , kuid ka Bulgaarias , Rumeenias , Austrias , Prantsusmaal ja Saksamaal .","{'start': 87, 'end': 97, 'text': 'Musta mere', 'labels': ['LOC']}"
12,"Täpsemalt saab merealuse tunneli ehitamisega tutvuda Taanis väikelinnas Korsöris , kus asub Suure väina silla- ja looduskeskus .","{'start': 92, 'end': 103, 'text': 'Suure väina', 'labels': ['LOC']}"
13,Tööd otsides jõudis ta Punase mere ääres asuvasse kuurortlinna Eilat ja alustas kelnerina ClubMed'is .,"{'start': 23, 'end': 34, 'text': 'Punase mere', 'labels': ['LOC']}"
14,"Magnoolia tõid Sagadisse Palmse aednikud Viivi ja Edgar Kivisaar , kes olid selle omakorda toonud kaugelt Musta mere äärest .","{'start': 106, 'end': 116, 'text': 'Musta mere', 'labels': ['LOC']}"
15,"Aprillis sattus Vaikses ookeanis asuv Nauru riik täbarasse olukorda , kui pankrotihaldurid võtsid Nauru vara Austraalias oma kontrolli alla ja väikeriigi pankrot oli silmaga näha .","{'start': 16, 'end': 32, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
16,"Hanila ja Karuse kiriku sõjameeste kujutistega hauaplaate seostab ta aga 1270. aastal Suure väina jääl toimunud lahingus langenud ordumeistri , rüütlite ja kohalike sõdalastega .","{'start': 86, 'end': 97, 'text': 'Suure väina', 'labels': ['LOC']}"
17,"Järgmisel päeval lendad edasi teisele samasugusele Vaikse ookeani saarele , mured on kaugel ja mobiiltelefon välja lülitatud , lihtsalt elad ja naudid elu ?","{'start': 51, 'end': 65, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
