id,text,span
0,"Meri , täpsemini Eru laht , loksub ka Siimsenite suvekodu lähedal , kust Leho ja Lea suviti autoga tööle käivad .","{'start': 17, 'end': 25, 'text': 'Eru laht', 'labels': ['LOC']}"
1,"Aastaid hiljem leiti Tunguusi jõe lähistel asustamata taigas plahvatuskolle , kus ligi 2000 ruutkilomeetri suurusel maa-alal olid põlispuud nagu tikud üksteise kõrvale kenasti maha pandud .","{'start': 21, 'end': 33, 'text': 'Tunguusi jõe', 'labels': ['LOC']}"
2,Paarikümne minuti pärast maandus - või veendus - kaks lennukit kindral Tõrvandiga Tallinnas - ja poole tunni pärast kanti vastavast piirivalvepunktist Tallinna ette vesilennuki hukkumisest ja lenduri surmast Lohusalu rannal .,"{'start': 208, 'end': 223, 'text': 'Lohusalu rannal', 'labels': ['LOC']}"
3,Selle päeva põhieesmärgiks oli käia Aafrika lõunapoolseimas punktis - Nõela neemel .,"{'start': 70, 'end': 82, 'text': 'Nõela neemel', 'labels': ['LOC']}"
4,"Maria Keskküla kinnitusel on lapsed varemgi Siniallika järve jääl uisutamas käinud , kuid kunagi pole mingit õnnetust juhtunud .","{'start': 44, 'end': 60, 'text': 'Siniallika järve', 'labels': ['LOC']}"
5,""" Ma olen käinud Islandil ja Juuda kõrb on pisut Islandiga sarnane , kuigi Island on külm maa ja mäed on mustad ning siin on täpselt vastupidi - maa on soe ja mäed valged . ""","{'start': 29, 'end': 39, 'text': 'Juuda kõrb', 'labels': ['LOC']}"
6,"Miks muidu toimub tegevus Egeuse mere saarel , kus kõlab aga ainult Rootsi muusika , ning kus näha pole ühtegi kreeklast , kui üks anglikaani moodi riides preester välja arvata .","{'start': 26, 'end': 37, 'text': 'Egeuse mere', 'labels': ['LOC']}"
7,"Harju päästeametist teatati Harju politseile , et Mustmäe raudteejaama ja Raudoja veehoidla vahelisel maa-alal põleb metsamaa .","{'start': 74, 'end': 91, 'text': 'Raudoja veehoidla', 'labels': ['LOC']}"
8,"Nii Veere kui Undva on Tagamõisa poolsaarel , üks ühel , teine teisel pool .","{'start': 23, 'end': 43, 'text': 'Tagamõisa poolsaarel', 'labels': ['LOC']}"
9,"Viimase kümne aasta jooksul on ta Taimõri poolsaare risti-põiki läbi sõitnud ja usub , et on leidnud Taimõri järve kaldalt ka inimasustuse jälgi , mis on 4000 aastat vanad .","{'start': 101, 'end': 114, 'text': 'Taimõri järve', 'labels': ['LOC']}"
10,"Laupäeval jäi Peipsi järve Uusküla rannas kadunuks kaheksa-aastane poiss , keda piirivalve vaatamata otsingutele esmaspäeva ennelõunaks polnud leidnud .","{'start': 27, 'end': 41, 'text': 'Uusküla rannas', 'labels': ['LOC']}"
